                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                                       ""                                 "CRMATH"                               "20230324"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                                  log_LHe                                       pp                                      cno                             he_core_mass                              c_core_mass                              o_core_mass                        dynamic_timescale                             kh_timescale                              effective_T                                 log_Teff                               luminosity                        luminosity_ergs_s                                    log_L                                   radius                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                 center_T                               center_Rho                                 center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                            total_mass_h1                           total_mass_he4                             total_energy               total_gravitational_energy                    total_internal_energy                              num_retries                                num_iters                               Egrav_conv                               Ebind_conv                                Etot_conv                                 Ehe_conv                              Egrav_inter                              Ebind_inter                               Etot_inter                                Ehe_inter                              R_conv_base                                   R_core                               M_conv_env                                  M_inter                              mom_inertia 
                                       1                                      419                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0295446554120570E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6102211201161511E+007                  5.8445186209130759E+002                  4.4648034869321464E+003                  3.6498023486850055E+000                  5.4587463357789260E+004                  2.0896080973361729E+038                  4.7370929134063315E+000                  3.9047651644479004E+002                  6.1660562292542298E-001                  5.5514725131300491E+000                 -5.4018788641001807E+000                  8.3773992195242464E+000                  8.3773992195242464E+000                 -5.4018788641001807E+000                  5.5514725131300491E+000                  3.5601845660965674E+005                  3.9638858180689615E-006                  2.3845103922172445E+008                  5.9253236840225176E-001                  8.7985426035237346E-001                  1.2198718649594935E+000                  7.5969999999999993E-001                  2.4017443788575954E-001                  1.7234416803928866E-005                  4.6902638225742484E-005                  1.7473099999999995E+001                  5.5240120713724741E+000                 -1.2515175867440807E+048                 -4.5231779588613035E+048                  3.2716603721172228E+048                                        0                                        4                 -4.4721697786576443E+048                 -1.9469278661221035E+048                 -1.2181651287276746E+048                 -1.7419253553986608E+048                 -2.9689347935761265E+044                  1.5008279925538299E+046                  1.7358770504838364E+046                  1.5677963382375626E+046                  1.9497554690211162E+012                  4.7562406770992958E+010                  4.5587124224389138E+034                  1.4629922868090388E+032                 -9.9999999999999997E+098 
                                       2                                      422                  2.1999999999999999E-005                 -4.9208187539523749E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0295446267618249E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6102214784953911E+007                  5.8444569765297331E+002                  4.4648147631529491E+003                  3.6498034455293129E+000                  5.4588031019212132E+004                  2.0896298274154405E+038                  4.7370974296620165E+000                  3.9047657438245267E+002                  6.1660549404696674E-001                  5.5514725284190805E+000                 -5.4018788159285336E+000                  8.3773992825929913E+000                  8.3773992825929913E+000                 -5.4018788159285336E+000                  5.5514725284190805E+000                  3.5601846914303623E+005                  3.9638862577404913E-006                  2.3845107384986210E+008                  5.9253236840215306E-001                  8.7985426035237357E-001                  1.2198718649594935E+000                  7.5970000000000015E-001                  2.4017443788575960E-001                  1.7234416803928870E-005                  4.6902638225742505E-005                  1.7473099999999999E+001                  5.5240120713724741E+000                 -1.2515176659587877E+048                 -4.5231781170679264E+048                  3.2716604511091387E+048                                        0                                        2                 -4.4721699351063087E+048                 -1.9469279435795367E+048                 -1.2181652067020537E+048                 -1.7419254330745131E+048                 -2.9689349031754468E+044                  1.5008280433287007E+046                  1.7358771012447819E+046                  1.5677963890124339E+046                  1.9497553971103269E+012                  4.7562405012463112E+010                  4.5587124224389138E+034                  1.4629922868090260E+032                 -9.9999999999999997E+098 
                                       3                                      422                  3.6400000000000004E-005                 -4.8416375079047498E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0295445926369982E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6102219111635324E+007                  5.8443788849004920E+002                  4.4648290777563070E+003                  3.6498048379148007E+000                  5.4588750636801436E+004                  2.0896573743767591E+038                  4.7371031547977713E+000                  3.9047664433008339E+002                  6.1660533845316512E-001                  5.5514725466282648E+000                 -5.4018787584219998E+000                  8.3773993578190797E+000                  8.3773993578190797E+000                 -5.4018787584219998E+000                  5.5514725466282648E+000                  3.5601848407024873E+005                  3.9638867826133213E-006                  2.3845111515304214E+008                  5.9253236840203594E-001                  8.7985426035237346E-001                  1.2198718649594935E+000                  7.5969999999999993E-001                  2.4017443788575954E-001                  1.7234416803928866E-005                  4.6902638225742484E-005                  1.7473099999999995E+001                  5.5240120713724741E+000                 -1.2515177610184039E+048                 -4.5231783053728456E+048                  3.2716605443544417E+048                                        0                                        2                 -4.4721701210972989E+048                 -1.9469280362871329E+048                 -1.2181653000630818E+048                 -1.7419255260800410E+048                 -2.9689350340099382E+044                  1.5008281036623493E+046                  1.7358771615617738E+046                  1.5677964493460822E+046                  1.9497553112662783E+012                  4.7562402913158546E+010                  4.5587124224389138E+034                  1.4629922868090260E+032                 -9.9999999999999997E+098 
                                       4                                      422                  5.3680000000000008E-005                 -4.7624562618571247E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0295445512533945E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6102223683266846E+007                  5.8442924147935287E+002                  4.4648449588631029E+003                  3.6498063826692948E+000                  5.4589547980408170E+004                  2.0896878966900249E+038                  4.7371094982182669E+000                  3.9047671823771230E+002                  6.1660517405064408E-001                  5.5514725687127164E+000                 -5.4018786889063710E+000                  8.3773994488643506E+000                  8.3773994488643506E+000                 -5.4018786889063710E+000                  5.5514725687127164E+000                  3.5601850217426207E+005                  3.9638874170954918E-006                  2.3845116514181536E+008                  5.9253236840189361E-001                  8.7985426035237357E-001                  1.2198718649594935E+000                  7.5970000000000015E-001                  2.4017443788575960E-001                  1.7234416803928870E-005                  4.6902638225742505E-005                  1.7473099999999999E+001                  5.5240120713724741E+000                 -1.2515178750774261E+048                 -4.5231785339651381E+048                  3.2716606588877121E+048                                        0                                        2                 -4.4721703468993193E+048                 -1.9469281476210176E+048                 -1.2181654120809408E+048                 -1.7419256377102651E+048                 -2.9689351921700925E+044                  1.5008281770751553E+046                  1.7358772349545126E+046                  1.5677965227588882E+046                  1.9497552074911201E+012                  4.7562400375456360E+010                  4.5587124224389138E+034                  1.4629922868090260E+032                 -9.9999999999999997E+098 
                                       5                                      422                  7.4416000000000014E-005                 -4.6832750158095005E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0295445004382497E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6102227815989370E+007                  5.8442077837000932E+002                  4.4648605498790712E+003                  3.6498078992013228E+000                  5.4590329161517882E+004                  2.0897178003029046E+038                  4.7371157129650543E+000                  3.9047678504967939E+002                  6.1660502543196949E-001                  5.5514725958356514E+000                 -5.4018786041354616E+000                  8.3773995601796187E+000                  8.3773995601796187E+000                 -5.4018786041354616E+000                  5.5514725958356514E+000                  3.5601852440863854E+005                  3.9638881908156004E-006                  2.3845122625992727E+008                  5.9253236840171764E-001                  8.7985426035237346E-001                  1.2198718649594935E+000                  7.5969999999999993E-001                  2.4017443788575954E-001                  1.7234416803928866E-005                  4.6902638225742484E-005                  1.7473099999999995E+001                  5.5240120713724741E+000                 -1.2515180119190734E+048                 -4.5231788152641246E+048                  3.2716608033450512E+048                                        0                                        2                 -4.4721706248136382E+048                 -1.9469282814293495E+048                 -1.2181655464644258E+048                 -1.7419257717116076E+048                 -2.9689353850492271E+044                  1.5008282678656553E+046                  1.7358773257207127E+046                  1.5677966135493887E+046                  1.9497550809316738E+012                  4.7562397280852707E+010                  4.5587124224389138E+034                  1.4629922868090260E+032                 -9.9999999999999997E+098 
                                       6                                      422                  9.9299200000000013E-005                 -4.6040937697618753E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0295444378749426E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6102230980044153E+007                  5.8441324638202093E+002                  4.4648744970547450E+003                  3.6498092558331603E+000                  5.4591025576875720E+004                  2.0897444590828026E+038                  4.7371212532763600E+000                  3.9047683620160336E+002                  6.1660491164801245E-001                  5.5514726292363985E+000                 -5.4018785005543668E+000                  8.3773996965868633E+000                  8.3773996965868633E+000                 -5.4018785005543668E+000                  5.5514726292363985E+000                  3.5601855178933439E+005                  3.9638891362200310E-006                  2.3845130115491492E+008                  5.9253236840149970E-001                  8.7985426035237357E-001                  1.2198718649594935E+000                  7.5970000000000015E-001                  2.4017443788575960E-001                  1.7234416803928870E-005                  4.6902638225742505E-005                  1.7473099999999999E+001                  5.5240120713724741E+000                 -1.2515181760896970E+048                 -4.5231791624150467E+048                  3.2716609863253497E+048                                        0                                        2                 -4.4721709678529986E+048                 -1.9469284422806698E+048                 -1.2181657076729298E+048                 -1.7419259325713739E+048                 -2.9689356207414873E+044                  1.5008283805136686E+046                  1.7358774383392580E+046                  1.5677967261974018E+046                  1.9497549262749121E+012                  4.7562393499574455E+010                  4.5587124224389138E+034                  1.4629922868090260E+032                 -9.9999999999999997E+098 
                                       7                                      422                  1.2915904000000000E-004                 -4.5249125237142502E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0295443610457422E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6102232813307051E+007                  5.8440710919252035E+002                  4.4648859648845682E+003                  3.6498103712976193E+000                  5.4591594724547271E+004                  2.0897662460556697E+038                  4.7371257810609553E+000                  3.9047686583918102E+002                  6.1660484572125451E-001                  5.5514726702609334E+000                 -5.4018783742043555E+000                  8.3773998634042730E+000                  8.3773998634042730E+000                 -5.4018783742043555E+000                  5.5514726702609334E+000                  3.5601858541973279E+005                  3.9638902894410137E-006                  2.3845139274676734E+008                  5.9253236840123069E-001                  8.7985426035237346E-001                  1.2198718649594935E+000                  7.5969999999999993E-001                  2.4017443788575954E-001                  1.7234416803928866E-005                  4.6902638225742484E-005                  1.7473099999999995E+001                  5.5240120713724741E+000                 -1.2515183730512771E+048                 -4.5231795896052704E+048                  3.2716612165539933E+048                                        0                                        2                 -4.4721713900540708E+048                 -1.9469286356122078E+048                 -1.2181659010662290E+048                 -1.7419261256662339E+048                 -2.9689359082581946E+044                  1.5008285197829721E+046                  1.7358775775728589E+046                  1.5677968654667058E+046                  1.9497547376059861E+012                  4.7562388887106110E+010                  4.5587124224389138E+034                  1.4629922868090260E+032                 -9.9999999999999997E+098 
                                       8                                      422                  1.6499084799999998E-004                 -4.4457312776666260E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0295442671264180E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6102233092237219E+007                  5.8440259753368196E+002                  4.4648945435532723E+003                  3.6498112057343621E+000                  5.4592015547825838E+004                  2.0897823551707733E+038                  4.7371291288386530E+000                  3.9047687034852578E+002                  6.1660483569052693E-001                  5.5514727204183192E+000                 -5.4018782205657887E+000                  8.3774000666618331E+000                  8.3774000666618331E+000                 -5.4018782205657887E+000                  5.5514727204183192E+000                  3.5601862653690838E+005                  3.9638916917303727E-006                  2.3845150434629619E+008                  5.9253236840090018E-001                  8.7985426035237357E-001                  1.2198718649594935E+000                  7.5970000000000015E-001                  2.4017443788575960E-001                  1.7234416803928870E-005                  4.6902638225742505E-005                  1.7473099999999999E+001                  5.5240120713724741E+000                 -1.2515186093627348E+048                 -4.5231801126676288E+048                  3.2716615033048940E+048                                        0                                        2                 -4.4721719070750859E+048                 -1.9469288679143740E+048                 -1.2181661330822270E+048                 -1.7419263574416446E+048                 -2.9689362578854773E+044                  1.5008286909302637E+046                  1.7358777486769721E+046                  1.5677970366139977E+046                  1.9497545081733760E+012                  4.7562383278456474E+010                  4.5587124224389138E+034                  1.4629922868090260E+032                 -9.9999999999999997E+098 
                                       9                                      422                  2.0798901759999997E-004                 -4.3665500316190009E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0295441528764723E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6102231711176645E+007                  5.8439974227598009E+002                  4.4649001886572087E+003                  3.6498117548259286E+000                  5.4592285394780076E+004                  2.0897926849121815E+038                  4.7371312755400048E+000                  3.9047684802151002E+002                  6.1660488535544056E-001                  5.5514727814393900E+000                 -5.4018780343891999E+000                  8.3774003133301687E+000                  8.3774003133301687E+000                 -5.4018780343891999E+000                  5.5514727814393900E+000                  3.5601867655973893E+005                  3.9638933910013160E-006                  2.3845163978078809E+008                  5.9253236840049694E-001                  8.7985426035237346E-001                  1.2198718649594935E+000                  7.5969999999999993E-001                  2.4017443788575954E-001                  1.7234416803928866E-005                  4.6902638225742484E-005                  1.7473099999999995E+001                  5.5240120713724741E+000                 -1.2515188928984127E+048                 -4.5231807497020410E+048                  3.2716618568036282E+048                                        0                                        2                 -4.4721725368110933E+048                 -1.9469291469495488E+048                 -1.2181664114511848E+048                 -1.7419266356269865E+048                 -2.9689366815690003E+044                  1.5008288999167947E+046                  1.7358779576113858E+046                  1.5677972456005281E+046                  1.9497542301362810E+012                  4.7562376481991478E+010                  4.5587124224389138E+034                  1.4629922868090260E+032                 -9.9999999999999997E+098 
