                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                                       ""                                 "CRMATH"                               "20230324"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                                  log_LHe                                       pp                                      cno                             he_core_mass                              c_core_mass                              o_core_mass                        dynamic_timescale                             kh_timescale                              effective_T                                 log_Teff                               luminosity                        luminosity_ergs_s                                    log_L                                   radius                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                 center_T                               center_Rho                                 center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                            total_mass_h1                           total_mass_he4                             total_energy               total_gravitational_energy                    total_internal_energy                              num_retries                                num_iters                               Egrav_conv                               Ebind_conv                                Etot_conv                                 Ehe_conv                              Egrav_inter                              Ebind_inter                               Etot_inter                                Ehe_inter                              R_conv_base                                   R_core                               M_conv_env                                  M_inter                              mom_inertia 
                                       1                                      458                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.7566585789670292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2284427868507570E+006                  2.0103838846559945E+003                  4.3972486871500887E+003                  3.6431810279128305E+000                  1.3275846369051931E+004                  5.0819939900730799E+037                  4.1230622180165408E+000                  1.9852820414672945E+002                  1.0185144582646022E+000                  5.7046675547921089E+000                 -4.7080126522754160E+000                  9.1879560966926981E+000                  9.1879560966926981E+000                 -4.7080126522754160E+000                  5.7046675547921089E+000                  5.0660276381520327E+005                  1.9587876074314067E-005                  1.5415446086308403E+009                  5.9949668781261534E-001                  8.7250443417191248E-001                  1.2379191874988187E+000                  7.4500000000000011E-001                  2.4997339496852569E-001                  8.6172084019653860E-004                  2.3451319112873857E-003                  1.1175000000000004E+001                  3.7496009245278867E+000                 -1.2957526197445710E+048                 -3.8238658731412576E+048                  2.5281132533966865E+048                                        0                                        2                 -3.7817175988102476E+048                 -1.7399311899022228E+048                 -1.2609818031911490E+048                 -1.5997321543486592E+048                 -7.3476096758962831E+043                  6.4855384712728544E+045                  7.3036864275428151E+045                  6.7259251707940668E+045                  7.7385258860075842E+011                  2.4215835030519398E+010                  2.9775689373068297E+034                  5.0456357142814414E+031                 -9.9999999999999997E+098 
                                       2                                      457                  2.1999999999999999E-005                 -4.9208187539523749E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.7566585711283405E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2284430112075824E+006                  2.0103238341216402E+003                  4.3972814561772329E+003                  3.6431842643353418E+000                  1.3276242658144174E+004                  5.0821456895375899E+037                  4.1230751816794635E+000                  1.9852820825468271E+002                  1.0185144402917261E+000                  5.7046675592645313E+000                 -4.7080126379921277E+000                  9.1879561153557194E+000                  9.1879561153557194E+000                 -4.7080126379921277E+000                  5.7046675592645313E+000                  5.0660276903226640E+005                  1.9587876718529677E-005                  1.5415446748759387E+009                  5.9949668781126841E-001                  8.7250443417191237E-001                  1.2379191874988185E+000                  7.4500000000000011E-001                  2.4997339496852566E-001                  8.6172084019653860E-004                  2.3451319112873857E-003                  1.1175000000000004E+001                  3.7496009245278867E+000                 -1.2957526389911648E+048                 -3.8238659140227816E+048                  2.5281132750316168E+048                                        0                                        2                 -3.7817176391805815E+048                 -1.7399312087362795E+048                 -1.2609818219959537E+048                 -1.5997321731626438E+048                 -7.3476097551796141E+043                  6.4855385398247774E+045                  7.3036864961656441E+045                  6.7259252393459911E+045                  7.7385258025092200E+011                  2.4215834776515808E+010                  2.9775689373068297E+034                  5.0456357142817557E+031                 -9.9999999999999997E+098 
                                       3                                      457                  3.6400000000000004E-005                 -4.8416375079047498E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.7566585616409942E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2284430360318255E+006                  2.0102913493230362E+003                  4.3972992127104553E+003                  3.6431860180436053E+000                  1.3276457161859509E+004                  5.0822278015598207E+037                  4.1230821985011463E+000                  1.9852820870921238E+002                  1.0185144383030946E+000                  5.7046675646634304E+000                 -4.7080126207309103E+000                  9.1879561379018853E+000                  9.1879561379018853E+000                 -4.7080126207309103E+000                  5.7046675646634304E+000                  5.0660277533006063E+005                  1.9587877497058103E-005                  1.5415447549044032E+009                  5.9949668780964260E-001                  8.7250443417191248E-001                  1.2379191874988187E+000                  7.4500000000000011E-001                  2.4997339496852569E-001                  8.6172084019653849E-004                  2.3451319112873857E-003                  1.1175000000000006E+001                  3.7496009245278867E+000                 -1.2957526620860829E+048                 -3.8238659635271867E+048                  2.5281133014411038E+048                                        0                                        2                 -3.7817176881365406E+048                 -1.7399312314192719E+048                 -1.2609818446265874E+048                 -1.5997321958112700E+048                 -7.3476098508715948E+043                  6.4855386229602814E+045                  7.3036865793872230E+045                  6.7259253224814989E+045                  7.7385257017366846E+011                  2.4215834467163410E+010                  2.9775689373068292E+034                  5.0456357142813864E+031                 -9.9999999999999997E+098 
                                       4                                      457                  5.3680000000000008E-005                 -4.7624562618571247E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.7566585502105806E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2284429486293290E+006                  2.0102746774903542E+003                  4.3973083563093141E+003                  3.6431869211002792E+000                  1.3276567374667136E+004                  5.0822699910225799E+037                  4.1230858037261644E+000                  1.9852820710888057E+002                  1.0185144453047723E+000                  5.7046675712050279E+000                 -4.7080126000160272E+000                  9.1879561650418697E+000                  9.1879561650418697E+000                 -4.7080126000160272E+000                  5.7046675712050279E+000                  5.0660278296080761E+005                  1.9587878431356430E-005                  1.5415448512388167E+009                  5.9949668780766696E-001                  8.7250443417191237E-001                  1.2379191874988189E+000                  7.4500000000000011E-001                  2.4997339496852569E-001                  8.6172084019653860E-004                  2.3451319112873857E-003                  1.1175000000000006E+001                  3.7496009245278867E+000                 -1.2957526897995423E+048                 -3.8238660231837180E+048                  2.5281133333841757E+048                                        0                                        2                 -3.7817177471338741E+048                 -1.7399312586467556E+048                 -1.2609818717823540E+048                 -1.5997322229917508E+048                 -7.3476099660049306E+043                  6.4855387232150114E+045                  7.3036866797458901E+045                  6.7259254227362289E+045                  7.7385255804858618E+011                  2.4215834093620014E+010                  2.9775689373068288E+034                  5.0456357142816792E+031                 -9.9999999999999997E+098 
                                       5                                      457                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.7566585364687242E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2284427763802018E+006                  2.0102670967163879E+003                  4.3973125542894986E+003                  3.6431873357081739E+000                  1.3276617651892951E+004                  5.0822892371446223E+037                  4.1230874483591320E+000                  1.9852820395501456E+002                  1.0185144591033819E+000                  5.7046675791058030E+000                 -4.7080125751808461E+000                  9.1879561976569892E+000                  9.1879561976569892E+000                 -4.7080125751808461E+000                  5.7046675791058030E+000                  5.0660279217703029E+005                  1.9587879551491583E-005                  1.5415449670074334E+009                  5.9949668780527487E-001                  8.7250443417191237E-001                  1.2379191874988187E+000                  7.4500000000000011E-001                  2.4997339496852566E-001                  8.6172084019653860E-004                  2.3451319112873857E-003                  1.1175000000000004E+001                  3.7496009245278867E+000                 -1.2957527230554913E+048                 -3.8238660949113465E+048                  2.5281133718558551E+048                                        0                                        2                 -3.7817178180698778E+048                 -1.7399312913242445E+048                 -1.2609819043687688E+048                 -1.5997322556096107E+048                 -7.3476101043358040E+043                  6.4855388437943637E+045                  7.3036868004501960E+045                  6.7259255433155786E+045                  7.7385254348048047E+011                  2.4215833643495483E+010                  2.9775689373068288E+034                  5.0456357142814963E+031                 -9.9999999999999997E+098 
                                       6                                      457                  9.9299200000000013E-005                 -4.6040937697618753E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.7566585199653275E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2284425340625606E+006                  2.0102644373410812E+003                  4.3973140822931855E+003                  3.6431874866193144E+000                  1.3276635512220542E+004                  5.0822960740780242E+037                  4.1230880325920065E+000                  1.9852819951820035E+002                  1.0185144785150717E+000                  5.7046675886303140E+000                 -4.7080125454159099E+000                  9.1879562368195842E+000                  9.1879562368195842E+000                 -4.7080125454159099E+000                  5.7046675886303140E+000                  5.0660280328733497E+005                  1.9587880893972387E-005                  1.5415451060165746E+009                  5.9949668780238574E-001                  8.7250443417191248E-001                  1.2379191874988185E+000                  7.4500000000000011E-001                  2.4997339496852572E-001                  8.6172084019653849E-004                  2.3451319112873857E-003                  1.1175000000000004E+001                  3.7496009245278867E+000                 -1.2957527629625728E+048                 -3.8238661810571149E+048                  2.5281134180945421E+048                                        0                                        2                 -3.7817179032653917E+048                 -1.7399313305396390E+048                 -1.2609819434722503E+048                 -1.5997322947517877E+048                 -7.3476102704213623E+043                  6.4855389886315577E+045                  7.3036869454376560E+045                  6.7259256881527752E+045                  7.7385252598940198E+011                  2.4215833101744724E+010                  2.9775689373068288E+034                  5.0456357142813414E+031                 -9.9999999999999997E+098 
                                       7                                      457                  1.2915904000000000E-004                 -4.5249125237142502E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.7566585001548720E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2284422266781563E+006                  2.0102643203086304E+003                  4.3973142397896190E+003                  3.6431875021742259E+000                  1.3276636661538718E+004                  5.0822965140370218E+037                  4.1230880701875643E+000                  1.9852819389001951E+002                  1.0185145031391596E+000                  5.7046676000992820E+000                 -4.7080125097433632E+000                  9.1879562838266082E+000                  9.1879562838266082E+000                 -4.7080125097433632E+000                  5.7046676000992820E+000                  5.0660281666584115E+005                  1.9587882502902854E-005                  1.5415452728698361E+009                  5.9949668779890164E-001                  8.7250443417191215E-001                  1.2379191874988187E+000                  7.4500000000000011E-001                  2.4997339496852569E-001                  8.6172084019653860E-004                  2.3451319112873857E-003                  1.1175000000000006E+001                  3.7496009245278867E+000                 -1.2957528108509972E+048                 -3.8238662844670465E+048                  2.5281134736160492E+048                                        0                                        2                 -3.7817180055348658E+048                 -1.7399313775992340E+048                 -1.2609819903962764E+048                 -1.5997323417227255E+048                 -7.3476104697686978E+043                  6.4855391625051723E+045                  7.3036871194915673E+045                  6.7259258620263873E+045                  7.7385250499557812E+011                  2.4215832450193157E+010                  2.9775689373068278E+034                  5.0456357142817638E+031                 -9.9999999999999997E+098 
                                       8                                      457                  1.6499084799999998E-004                 -4.4457312776666260E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.7566584763797334E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2284418520748736E+006                  2.0102654701711172E+003                  4.3973137249207948E+003                  3.6431874513239362E+000                  1.3276629526058790E+004                  5.0822937825753054E+037                  4.1230878367775174E+000                  1.9852818703106692E+002                  1.0185145331480490E+000                  5.7046676138993400E+000                 -4.7080124669863510E+000                  9.1879563402397881E+000                  9.1879563402397881E+000                 -4.7080124669863510E+000                  5.7046676138993400E+000                  5.0660283276355464E+005                  1.9587884431362484E-005                  1.5415454731106408E+009                  5.9949668779470400E-001                  8.7250443417191237E-001                  1.2379191874988185E+000                  7.4500000000000011E-001                  2.4997339496852569E-001                  8.6172084019653871E-004                  2.3451319112873857E-003                  1.1175000000000006E+001                  3.7496009245278867E+000                 -1.2957528683171217E+048                 -3.8238664085733409E+048                  2.5281135402562192E+048                                        0                                        2                 -3.7817181282725564E+048                 -1.7399314340712534E+048                 -1.2609820467050954E+048                 -1.5997323980880208E+048                 -7.3476107090007035E+043                  6.4855393711814648E+045                  7.3036873283842364E+045                  6.7259260707026810E+045                  7.7385247980114648E+011                  2.4215831666967354E+010                  2.9775689373068278E+034                  5.0456357142815963E+031                 -9.9999999999999997E+098 
                                       9                                      457                  2.0798901759999997E-004                 -4.3665500316190009E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.7566584478487780E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2284414028575234E+006                  2.0102672281125485E+003                  4.3973129002154219E+003                  3.6431873698730670E+000                  1.3276618465949796E+004                  5.0822895487655821E+037                  4.1230874749879307E+000                  1.9852817880593727E+002                  1.0185145691341579E+000                  5.7046676304957078E+000                 -4.7080124157301171E+000                  9.1879564079371363E+000                  9.1879564079371363E+000                 -4.7080124157301171E+000                  5.7046676304957078E+000                  5.0660285212315415E+005                  1.9587886743160773E-005                  1.5415457134050789E+009                  5.9949668778965071E-001                  8.7250443417191237E-001                  1.2379191874988187E+000                  7.4500000000000011E-001                  2.4997339496852566E-001                  8.6172084019653871E-004                  2.3451319112873857E-003                  1.1175000000000004E+001                  3.7496009245278867E+000                 -1.2957529372764989E+048                 -3.8238665575052359E+048                  2.5281136202287370E+048                                        0                                        2                 -3.7817182755621007E+048                 -1.7399315018378314E+048                 -1.2609821142756902E+048                 -1.5997324657264321E+048                 -7.3476109960862084E+043                  6.4855396216015220E+045                  7.3036875790639832E+045                  6.7259263211227357E+045                  7.7385244956726233E+011                  2.4215830725772186E+010                  2.9775689373068274E+034                  5.0456357142815432E+031                 -9.9999999999999997E+098 
